Number,SenderId,First Name,Last Name,Address,City,Real Estate Supplier
919824237008,DVSUPJY,Prashant,Khalasi,Anand,Vadodara,Google
919824237009,EVSUPJZ,Nirav,Patel,Borsad,Surat,Yahoo
919824237010,OVSUPJA,Sandip,Solanki,Valvod,Ahamadavad,Facebook
919824237011,MVSUPJB,Deval,Barot,Bhadran,Jamnagar,Amazon
919824237012,KVSUPJC,Vinod,Mhera,Ahamdavad,Bhavnagar,Insta
919824237013,JVSUPJD,Jay,Kishan,Sojitra,Nadiyad,LinkedIn
919824237014,QVSUPJE,Rajesh,Malhotra,Gotri,Anand,Flipkart
919824237015,RAVSUPJY,Sanjuy,Singhaniya,Fategunj,Borsad,Alibaba
919824237016,BVSUPJY,Ajeet,Premji,Alkapuri,Surat,Mantry
919824237017,CVSUPJY,Bill,Vasava,Bhayli,Sojitra,Sales
919824237018,DVSUPJY,Arvind,Solanki,Borsad,Vadodara,Computer
919824237019,EVSUPJY,Neha,Barot,Baroda,Vadodara,Domain
919824237020,FVSUPJY,Naredra,Khalasi,Surat,Surat,Web
919824237021,IVSUPJY,Krishna,Patel,Jamnagar,Ahamadavad,Disk
919824237022,JVSUPJY,Sandip,Solanki,Bhavnagar,Jamnagar,Ram
919824237023,LVSUPJY,Deval,Barot,Khoyli,Bhavnagar,Memory
919824237024,MVSUPJY,Rajesh,Solanki,Naroda,Nadiyad,Card
919824237025,OVSUPJY,Keval,Barot,Vasna,Anand,Sim
919824237026,PVSUPJY,Dharmesh,Khalasi,Borsad,Borsad,Mobile
919824237027,QVSUPJY,Vidhi,Patel,Valvod,Surat,Nextwork
919824237028,RVSUPJY,Nirali,Patel,Bhadran,Sojitra,Airtel
919824237029,SVSUPJY,Rajesh,Khana,Ahamdavad,Ahamadavad,Jio
919824237030,TYVSUPJY,Salman,Khan,Sojitra,Jamnagar,Webinar
919824237031,UUVSUPJY,Sharukh,Khan,Gotri,Bhavnagar,Seminar
919824237032,VVVSUPJY,Ajay,Devol,Fategunj,Nadiyad,Walmart
919824237033,WVSUPJY,Narshi,Mheta,Transactional,Anand,Tata
919824237034,REDABC,Prakash,Shah,Vadodara,Borsad,Google
919824237035,EVSUPJZ,Nirav,Patel,Transactional,Surat,Yahoo
919824237036,OVSUPJA,Sandip,Solanki,Bhayli,Sojitra,Facebook
919824237037,MVSUPJB,Deval,Barot,Borsad,Vadodara,Amazon
919824237038,KVSUPJC,Vinod,Mhera,Baroda,Vadodara,Insta
919824237039,JVSUPJD,Jay,Kishan,Surat,Surat,LinkedIn
919824237040,QVSUPJE,Rajesh,Malhotra,Jamnagar,Ahamadavad,Flipkart
919824237041,RAVSUPJY,Sanjuy,Singhaniya,Bhavnagar,Jamnagar,Alibaba
919824237042,BVSUPJY,Ajeet,Premji,Khoyli,Bhavnagar,Mantry
919824237043,CVSUPJY,Bill,Vasava,Naroda,Nadiyad,Sales
919824237044,DVSUPJY,Arvind,Solanki,Jamnagar,Jamnagar,Computer
919824237045,EVSUPJY,Neha,Barot,Bhavnagar,Bhavnagar,Domain
919824237046,FVSUPJY,Naredra,Khalasi,Khoyli,Nadiyad,Web
919824237047,IVSUPJY,Krishna,Patel,Naroda,Anand,Disk
919824237048,JVSUPJY,Sandip,Solanki,Vasna,Borsad,Ram
919824237049,LVSUPJY,Deval,Barot,Borsad,Surat,Memory
919824237050,MVSUPJY,Rajesh,Solanki,Valvod,Sojitra,Card
919824237051,OVSUPJY,Keval,Barot,Bhadran,Vadodara,Sim
919824237052,PVSUPJY,Dharmesh,Khalasi,Ahamdavad,Vadodara,Mobile
919824237053,QVSUPJY,Vidhi,Patel,Sojitra,Surat,Nextwork
919824237054,RVSUPJY,Nirali,Patel,Gotri,Ahamadavad,Airtel
919824237055,SVSUPJY,Rajesh,Khana,Fategunj,Jamnagar,Jio
